"","pop","ZIP","pop_share"
"159",28356,90307,0.000992160858540346
"160",28356,90308,0.000992160858540346
"161",22731,90302,0.000795345199445641
"162",22731,90309,0.000795345199445641
"163",19540,90310,0.000683693862881872
"164",19540,90303,0.000683693862881872
"165",19763,90304,0.000691496510344649
"166",12924,90305,0.000452203658335993
"167",6680,90411,0.000233729529378245
"168",6680,90406,0.000233729529378245
"169",6680,90407,0.000233729529378245
"170",6680,90410,0.000233729529378245
"171",6680,90401,0.000233729529378245
"172",9714,90402,0.000339887522212615
"173",22116,90408,0.00077382668738462
"174",22116,90403,0.00077382668738462
"175",18803,90404,0.000657906637859152
"176",24794,90409,0.000867528435838952
"177",24794,90405,0.000867528435838952
"178",34208,90507,0.00119691912289985
"179",34208,90508,0.00119691912289985
"180",34208,90501,0.00119691912289985
"181",14163,90502,0.000495555587512587
"182",36682,90503,0.00128348302345101
"183",36682,90509,0.00128348302345101
"184",36682,90510,0.00128348302345101
"185",27072,90504,0.000947234404090995
"186",30134,90505,0.00105437210153953
"187",0,90506,0
"188",27248,90608,0.000953392547380002
"189",27248,90601,0.000953392547380002
"190",20491,90602,0.000716968830312817
"191",16641,90609,0.000582259445865774
"192",16641,90603,0.000582259445865774
"193",30931,90604,0.00108225869359259
"194",32291,90605,0.00112984434628037
"195",32291,90607,0.00112984434628037
"196",25891,90606,0.000905911863043733
"197",25891,90610,0.000905911863043733
"198",37082,90620,0.0012974788036533
"199",37082,90622,0.0012974788036533
"200",27480,90624,0.00096151009989733
"201",27480,90621,0.00096151009989733
"202",12897,90623,0.000451258943172339
"203",39537,90630,0.00138337790464486
"204",53481,90632,0.00187127080249669
"205",53481,90631,0.00187127080249669
"206",40705,90638,0.00142424558283555
"207",40705,90639,0.00142424558283555
"208",40705,90637,0.00142424558283555
"209",50624,90640,0.00177130594240184
"210",82337,90650,0.0028809263862899
"211",82337,90652,0.0028809263862899
"212",82337,90651,0.0028809263862899
"213",49376,90661,0.00172763910817069
"214",49376,90660,0.00172763910817069
"215",49376,90662,0.00172763910817069
"216",12230,90670,0.00042792097968502
"217",12230,90671,0.00042792097968502
"218",23575,90680,0.000824876295672473
"219",13742,90701,0.000480825028849677
"220",13742,90702,0.000480825028849677
"221",41625,90703,0.00145643587730081
"222",3017,90704,0.000105563172175773
"223",58223,90706,0.00203719077679484
"224",58223,90707,0.00203719077679484
"225",22003,90710,0.000769872879477473
"226",25538,90714,0.000893560587015212
"227",25538,90712,0.000893560587015212
"228",25538,90711,0.000893560587015212
"229",22421,90713,0.000784498469788866
"230",16204,90715,0.000566969055994772
"231",10577,90716,0.000370083417999056
"232",17603,90717,0.000615919297252282
"233",17786,90720,0.00062232236669483
"234",17786,90721,0.00062232236669483
"235",40041,90723,0.00140101258769975
"236",48653,90731,0.00170234173545505
"237",48653,90733,0.00170234173545505
"238",16585,90732,0.000580300036637454
"239",21429,90740,0.000749788934887187
"240",812,90742,0.0000284114338106489
"241",322,90743,0.0000112666030628435
"242",41521,90744,0.00145279697444822
"243",41521,90748,0.00145279697444822
"244",46445,90749,0.00162508502873841
"245",46445,90745,0.00162508502873841
"246",22002,90746,0.000769837890026967
"247",0,90747,0
"248",8921,90755,0.000312140887961575
"249",8921,90809,0.000312140887961575
"250",33532,90801,0.00117326625435798
"251",33532,90844,0.00117326625435798
"252",33532,90802,0.00117326625435798
