"","pop","ZIP","pop_share"
"1713",19600,94619,0.00251074721502411
"1714",22613,94614,0.00289671054966021
"1715",22613,94621,0.00289671054966021
"1716",14246,94702,0.00182490330740987
"1717",17905,94703,0.0022936188206636
"1718",25592,94701,0.00327831850647433
"1719",25592,94704,0.00327831850647433
"1720",25592,94712,0.00327831850647433
"1721",11255,94705,0.00144175815842328
"1722",15445,94706,0.00197849442530854
"1723",10179,94707,0.00130392326029237
"1724",9574,94708,0.00122642315493065
"1725",11275,94709,0.00144432014537739
"1726",5462,94710,0.000699678637166412
"1727",3037,94720,0.000389037718981031
"1728",20812,94807,0.00266600362444294
"1729",20812,94801,0.00266600362444294
"1730",20812,94802,0.00266600362444294
"1731",21844,94803,0.00279820215127483
"1732",21844,94820,0.00279820215127483
"1733",32261,94804,0.00413261305632106
"1734",32261,94808,0.00413261305632106
"1735",11587,94805,0.00148428714186144
"1736",46944,94806,0.00601349577867815
"1737",0,94850,0
"1738",34251,94901,0.00438753075825463
"1739",34251,94915,0.00438753075825463
"1740",25106,94912,0.00321606222348955
"1741",25106,94914,0.00321606222348955
"1742",25106,94903,0.00321606222348955
"1743",25106,94913,0.00321606222348955
"1744",10054,94904,0.0012879108418292
"1745",10176,94920,0.00130353896224925
"1748",1239,94924,0.000158715091806881
"1749",7325,94925,0.000938327721941407
"1750",7325,94976,0.000938327721941407
"1755",7065,94978,0.000905021891538026
"1756",7065,94930,0.000905021891538026
"1761",5521,94939,0.000707236498681025
"1762",5521,94977,0.000707236498681025
"1764",24550,94942,0.0031448389861654
"1765",24550,94941,0.0031448389861654
"1772",74,94950,0.00000947935173019306
"1781",831,94957,0.000106450557943114
"1782",12620,94979,0.00161661376804103
"1783",12620,94960,0.00161661376804103
"1785",4430,94964,0.00056748011033453
"1786",4430,94974,0.00056748011033453
"1787",9716,94966,0.00124461326230481
"1788",9716,94965,0.00124461326230481
"1789",465,94970,0.0000595661966829699
"1793",1258,95002,0.000161148979413282
"1797",5452,95005,0.000698397643689359
"1798",7832,95006,0.001003274091228
"1799",727,95007,0.0000931282257817615
"1800",37468,95008,0.00479962635982261
"1801",37468,95011,0.00479962635982261
"1802",37468,95009,0.00479962635982261
"1805",32,95013,0.00000409917912656997
"1806",47383,95015,0.00606973139232078
"1807",47383,95014,0.00606973139232078
"1808",573,95017,0.0000734009262351435
"1809",6090,95018,0.000780125027525347
"1815",11104,95030,0.00142241515691978
"1816",11104,95031,0.00142241515691978
"1817",20251,95032,0.00259413989038026
"1818",7891,95044,0.00101083195274261
"1819",7891,95033,0.00101083195274261
"1820",7891,95026,0.00101083195274261
"1821",56184,95035,0.00719713375147522
"1822",56184,95036,0.00719713375147522
